"filename", "language", "JavaScript", "CSS", "JavaScript JSX", "XML", "JSON", "JSON with Comments", "Markdown", "comment", "blank", "total"
"d:\WeStuday_FrontEnd\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 23, 0, 14, 37
"d:\WeStuday_FrontEnd\app\Components\Button.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"d:\WeStuday_FrontEnd\app\Components\Header.jsx", "JavaScript JSX", 0, 0, 68, 0, 0, 0, 0, 2, 2, 72
"d:\WeStuday_FrontEnd\app\Components\Hero.jsx", "JavaScript JSX", 0, 0, 35, 0, 0, 0, 0, 0, 3, 38
"d:\WeStuday_FrontEnd\app\Components\Logo.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"d:\WeStuday_FrontEnd\app\layout.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"d:\WeStuday_FrontEnd\app\lib\@react-icons\index.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\WeStuday_FrontEnd\app\page.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\WeStuday_FrontEnd\app\styles\globals.css", "CSS", 0, 20, 0, 0, 0, 0, 0, 1, 2, 23
"d:\WeStuday_FrontEnd\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 4, 0, 4, 0, 8 
"d:\WeStuday_FrontEnd\next.config.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 1, 2, 5
"d:\WeStuday_FrontEnd\package-lock.json", "JSON", 0, 0, 0, 0, 1509, 0, 0, 0, 1, 1510
"d:\WeStuday_FrontEnd\package.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"d:\WeStuday_FrontEnd\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\WeStuday_FrontEnd\public\img\hero-1.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"d:\WeStuday_FrontEnd\public\img\hero-3.svg", "XML", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\WeStuday_FrontEnd\public\img\hero-4.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\WeStuday_FrontEnd\tailwind.config.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 2, 1, 19
"Total", "-", 75, 20, 132, 27, 1532, 4, 23, 10, 39, 1862
